status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,Unnamed: 21
0 to < 200 DM,48,existing credits paid back duly till now,radio/television,5951,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,none,22,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,12,critical account/ other credits existing (not at this bank),education,2096,< 100 DM,4 to < 7 years,2,male : single,none,3,none,49,none,own,1,unskilled - resident,2,none,yes,good,
< 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,< 100 DM,4 to < 7 years,2,male : single,guarantor,4,car,45,none,for free,1,skilled employee/ official,2,none,yes,good,
< 0 DM,24,delay in paying off in the past,car (new),4870,< 100 DM,1 to < 4 years,3,male : single,none,4,savings agreement/life insurance,53,none,for free,2,skilled employee/ official,2,none,yes,bad,
no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 to < 1000 DM,>= 7 years,3,male : single,none,4,car,53,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,radio/television,3059,>= 1000 DM,4 to < 7 years,2,male : divorced/separated,none,4,none,61,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,< 100 DM,unemployed,4,male : married/widowed,none,2,real estate,28,none,own,2,management/ self-employed/highly qualified employee,1,none,yes,bad,
0 to < 200 DM,12,existing credits paid back duly till now,car (new),1295,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,real estate,25,none,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,48,existing credits paid back duly till now,business,4308,< 100 DM,< 1 year,3,female : divorced/separated/married,none,4,car,24,none,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,24,critical account/ other credits existing (not at this bank),car (new),1199,< 100 DM,>= 7 years,4,male : single,none,4,real estate,60,none,own,2,unskilled - resident,1,none,yes,bad,
